fx,time(s)
-398.75,1276.5
-398.75,1276.6
-398.75,1276.9
-398.75,1278.1
-398.75,1278.1
-398.75,1278.1
-398.77,1279.4
-398.89,1280.4
-398.89,1280.8
-398.89,1280.9
-398.89,1281.1
-398.89,1281.3
-398.89,1282.4
-398.89,1282.5
-398.89,1282.5
-398.89,1282.8
-398.89,1284.2
-398.89,1284.8
-398.96,1285.5
-398.96,1285.6
-398.96,1285.8
-398.96,1285.8
-399.09,1286.5
-399.09,1286.7
-399.09,1287
-399.09,1287.5
-399.09,1288.2
-399.09,1288.3
-399.09,1288.7
-399.09,1289
-399.09,1290.3
-399.09,1291.4
-399.09,1291.5
-399.09,1291.5
-399.09,1291.5
-399.09,1291.5
-399.09,1291.8
-399.23,1292.7
-399.23,1293
-399.23,1293.8
-399.23,1294
-399.23,1294.3
-399.23,1294.5
-399.23,1296.3
-399.23,1297.1
-399.23,1297.1
-399.23,1297.2
-399.23,1297.6
-399.23,1298.3
-399.46,1298.9
-399.46,1299.1
-399.46,1299.8
-399.46,1300
-399.46,1300.2
-399.46,1300.4
-399.46,1302.2
-399.46,1302.7
-399.46,1302.8
-399.46,1303.1
-399.46,1303.5
-399.46,1304.2
-399.5,1305.1
-399.5,1305.6
-399.5,1307.7
-399.5,1310.6
-399.5,1314.7
-399.75,1317.2
-399.75,1317.3
-399.75,1317.7
-399.75,1318.3
-399.75,1318.8
-399.75,1319.3
-399.75,1319.3
-399.75,1319.6
-399.75,1320.2
-399.75,1320.5
-399.75,1321.3
-399.75,1321.7
-399.75,1322.4
-399.75,1322.9
-399.75,1324.4
-399.75,1326.9
-399.76,1329.4
-400.02,1335.5
-400.02,1336
-400.02,1336.1
-400.02,1336.5
-400.02,1336.7
-400.02,1337.6
-400.02,1338.1
-400.02,1338.2
-400.02,1339.1
-400.02,1339.1
-400.02,1340.2
-400.02,1341.3
-400.02,1341.5
-400.21,1341.6
-400.21,1341.9
-400.21,1342
-400.21,1342
-400.21,1342.4
-400.21,1342.6
-400.21,1343.9
-400.21,1344
-400.21,1344.1
-400.21,1344.9
-400.21,1345.1
-400.21,1345.9
-400.21,1346
-400.21,1347.2
-400.21,1347.5
-400.46,1348
-400.46,1348.2
-400.46,1348.4
-400.46,1349.8
-400.46,1349.9
-400.46,1350.1
-400.46,1350.1
-400.46,1351.2
-400.46,1351.9
-400.46,1352.1
-400.46,1352.8
-400.46,1353.2
-400.46,1353.5
-400.46,1353.6
-400.46,1353.7
-400.73,1354.2
-400.73,1354.3
-400.73,1355.8
-400.73,1356.1
-400.73,1357
-400.73,1357.1
-400.73,1357.7
-400.73,1359.1
-400.73,1359.2
-400.73,1359.6
-400.73,1359.7
-400.81,1360.5
-400.81,1360.6
-400.81,1362.1
-400.81,1363.1
-400.81,1363.5
-400.81,1365
-400.81,1365.1
-400.81,1365.2
-400.81,1365.5
-400.81,1365.6
-400.81,1365.9
-400.88,1366.6
-400.88,1368.2
-400.88,1368.5
-400.88,1369.1
-400.88,1369.3
-400.88,1370.7
-400.88,1371.1
-400.88,1371.4
-400.88,1371.7
-400.88,1371.7
-401.1,1372.9
-401.1,1375
-401.1,1375.1
-401.1,1375.3
-401.1,1376.4
-401.1,1376.5
-401.1,1377.1
-401.1,1377.3
-401.1,1377.4
-401.1,1377.7
-401.1,1377.8
-401.21,1379
-401.21,1379
-401.21,1380.1
-401.21,1380.5
-401.21,1380.9
-401.21,1381
-401.21,1381.1
-401.21,1382.2
-401.21,1383.2
-401.21,1383.8
