Unnamed: 0	observableId	simulationConditionId	measurement	time
305	obs_E2F1__nuc_median	wt	0.20859915950651112	1410
306	obs_E2F1__nuc_median	wt	0.23123485941023222	2115
307	obs_E2F1__nuc_median	wt	0.2564839064118129	2820
308	obs_E2F1__nuc_median	wt	0.2845330641967612	3525
309	obs_E2F1__nuc_median	wt	0.31547465814377246	4230
310	obs_E2F1__nuc_median	wt	0.34926086354128955	4935
311	obs_E2F1__nuc_median	wt	0.3856848126533011	5640
312	obs_E2F1__nuc_median	wt	0.42439577669118955	6345
313	obs_E2F1__nuc_median	wt	0.46494205305656067	7050
314	obs_E2F1__nuc_median	wt	0.506824872808196	7755
315	obs_E2F1__nuc_median	wt	0.5495466400988693	8460
316	obs_E2F1__nuc_median	wt	0.5926446974943749	9165
317	obs_E2F1__nuc_median	wt	0.6357097874121465	9870
318	obs_E2F1__nuc_median	wt	0.6783926360746437	10575
319	obs_E2F1__nuc_median	wt	0.7204029787377972	11280
320	obs_E2F1__nuc_median	wt	0.7615045064710559	11985
321	obs_E2F1__nuc_median	wt	0.8015080310553871	12690
322	obs_E2F1__nuc_median	wt	0.84026421996933	13395
323	obs_E2F1__nuc_median	wt	0.8776565287807926	14100
324	obs_E2F1__nuc_median	wt	0.9135947278898724	14805
325	obs_E2F1__nuc_median	wt	0.9480090598193542	15510
326	obs_E2F1__nuc_median	wt	0.9808450476761158	16215
327	obs_E2F1__nuc_median	wt	1.0120588693038166	16920
328	obs_E2F1__nuc_median	wt	1.0416131882504047	17625
329	obs_E2F1__nuc_median	wt	1.0694733028779302	18330
330	obs_E2F1__nuc_median	wt	1.095603458648335	19035
331	obs_E2F1__nuc_median	wt	1.1199631943116597	19740
332	obs_E2F1__nuc_median	wt	1.1425037125614346	20445
333	obs_E2F1__nuc_median	wt	1.1631645894550506	21150
334	obs_E2F1__nuc_median	wt	1.181871911709918	21855
335	obs_E2F1__nuc_median	wt	1.1985402893463668	22560
336	obs_E2F1__nuc_median	wt	1.2130821161005547	23265
337	obs_E2F1__nuc_median	wt	1.2254243889191727	23970
338	obs_E2F1__nuc_median	wt	1.2355253439557858	24675
339	obs_E2F1__nuc_median	wt	1.243381037515788	25380
340	obs_E2F1__nuc_median	wt	1.2490214901539984	26085
341	obs_E2F1__nuc_median	wt	1.252502839226403	26790
342	obs_E2F1__nuc_median	wt	1.2539000849532278	27495
343	obs_E2F1__nuc_median	wt	1.2533016216687847	28200
344	obs_E2F1__nuc_median	wt	1.2508052924268511	28905
345	obs_E2F1__nuc_median	wt	1.2465154866804564	29610
346	obs_E2F1__nuc_median	wt	1.240540906942181	30315
347	obs_E2F1__nuc_median	wt	1.2329927802698462	31020
348	obs_E2F1__nuc_median	wt	1.2239833808532066	31725
349	obs_E2F1__nuc_median	wt	1.2136247799785695	32430
350	obs_E2F1__nuc_median	wt	1.2020278035835537	33135
351	obs_E2F1__nuc_median	wt	1.1893010076498443	33840
352	obs_E2F1__nuc_median	wt	1.1755500430207309	34545
353	obs_E2F1__nuc_median	wt	1.1608768699483363	35250
354	obs_E2F1__nuc_median	wt	1.145379196601898	35955
355	obs_E2F1__nuc_median	wt	1.12914997608983	36660
356	obs_E2F1__nuc_median	wt	1.112276988633928	37365
357	obs_E2F1__nuc_median	wt	1.0948424784409583	38070
358	obs_E2F1__nuc_median	wt	1.076922858980787	38775
359	obs_E2F1__nuc_median	wt	1.058588443826131	39480
360	obs_E2F1__nuc_median	wt	1.0399032123314758	40185
