fx,time(s)
2.84E+03,4.52E+04
2.84E+03,4.52E+04
2.84E+03,4.52E+04
2.84E+03,4.52E+04
2.84E+03,4.52E+04
2.84E+03,4.53E+04
2.84E+03,4.53E+04
2.84E+03,4.53E+04
2.84E+03,4.54E+04
2.84E+03,4.54E+04
2.84E+03,4.54E+04
2.84E+03,4.54E+04
2.84E+03,4.55E+04
2.84E+03,4.55E+04
2.84E+03,4.55E+04
2.84E+03,4.55E+04
2.84E+03,4.55E+04
2.84E+03,4.55E+04
2.84E+03,4.55E+04
2.84E+03,4.56E+04
2.84E+03,4.56E+04
2.84E+03,4.56E+04
2.84E+03,4.56E+04
2.84E+03,4.57E+04
2.84E+03,4.57E+04
2.84E+03,4.57E+04
2.84E+03,4.57E+04
2.84E+03,4.57E+04
2.84E+03,4.58E+04
2.84E+03,4.58E+04
2.84E+03,4.58E+04
2.84E+03,4.58E+04
2.84E+03,4.59E+04
2.84E+03,4.59E+04
2.84E+03,4.59E+04
2.84E+03,4.59E+04
2.84E+03,4.59E+04
2.84E+03,4.60E+04
2.84E+03,4.60E+04
2.84E+03,4.60E+04
2.84E+03,4.60E+04
2.84E+03,4.60E+04
2.84E+03,4.60E+04
2.84E+03,4.60E+04
2.84E+03,4.60E+04
2.84E+03,4.60E+04
2.84E+03,4.60E+04
2.84E+03,4.60E+04
2.84E+03,4.60E+04
2.84E+03,4.60E+04
2.84E+03,4.61E+04
2.84E+03,4.61E+04
2.84E+03,4.62E+04
2.84E+03,4.62E+04
2.84E+03,4.63E+04
2.84E+03,4.63E+04
2.84E+03,4.64E+04
2.84E+03,4.64E+04
2.84E+03,4.65E+04
2.84E+03,4.65E+04
2.84E+03,4.66E+04
2.84E+03,4.66E+04
2.84E+03,4.66E+04
2.84E+03,4.67E+04
2.84E+03,4.67E+04
2.84E+03,4.67E+04
2.84E+03,4.67E+04
2.84E+03,4.68E+04
2.84E+03,4.68E+04
2.84E+03,4.68E+04
2.84E+03,4.68E+04
2.84E+03,4.69E+04
2.84E+03,4.70E+04
2.84E+03,4.71E+04
2.84E+03,4.72E+04
2.84E+03,4.72E+04
2.84E+03,4.73E+04
2.84E+03,4.73E+04
2.84E+03,4.73E+04
2.84E+03,4.74E+04
2.84E+03,4.74E+04
2.84E+03,4.74E+04
2.84E+03,4.75E+04
2.84E+03,4.76E+04
2.84E+03,4.76E+04
2.84E+03,4.76E+04
2.84E+03,4.77E+04
2.84E+03,4.78E+04
2.84E+03,4.78E+04
2.84E+03,4.78E+04
2.84E+03,4.79E+04
2.84E+03,4.79E+04
2.84E+03,4.79E+04
2.84E+03,4.79E+04
2.84E+03,4.81E+04
2.84E+03,4.81E+04
2.84E+03,4.81E+04
2.84E+03,4.82E+04
2.84E+03,4.82E+04
2.84E+03,4.83E+04
2.84E+03,4.83E+04
2.84E+03,4.84E+04
2.84E+03,4.84E+04
2.84E+03,4.84E+04
2.84E+03,4.84E+04
2.84E+03,4.85E+04
2.84E+03,4.85E+04
2.84E+03,4.85E+04
2.84E+03,4.86E+04
2.84E+03,4.86E+04
2.84E+03,4.86E+04
2.84E+03,4.86E+04
2.84E+03,4.86E+04
2.84E+03,4.87E+04
2.84E+03,4.87E+04
2.84E+03,4.87E+04
2.84E+03,4.87E+04
2.84E+03,4.88E+04
2.84E+03,4.88E+04
2.84E+03,4.88E+04
2.84E+03,4.89E+04
2.84E+03,4.89E+04
2.84E+03,4.89E+04
2.84E+03,4.90E+04
2.84E+03,4.90E+04
2.84E+03,4.90E+04
2.84E+03,4.91E+04
2.84E+03,4.91E+04
2.84E+03,4.91E+04
2.84E+03,4.91E+04
2.84E+03,4.92E+04
2.84E+03,4.92E+04
2.84E+03,4.92E+04
2.84E+03,4.92E+04
2.84E+03,4.92E+04
2.84E+03,4.92E+04
2.84E+03,4.93E+04
2.84E+03,4.93E+04
2.84E+03,4.93E+04
2.84E+03,4.93E+04
2.84E+03,4.93E+04
2.84E+03,4.94E+04
2.84E+03,4.94E+04
2.84E+03,4.94E+04
2.84E+03,4.94E+04
2.84E+03,4.94E+04
2.84E+03,4.95E+04
2.84E+03,4.95E+04
2.84E+03,4.95E+04
2.84E+03,4.95E+04
2.84E+03,4.95E+04
2.84E+03,4.96E+04
2.84E+03,4.96E+04
2.84E+03,4.96E+04
2.84E+03,4.96E+04
2.84E+03,4.96E+04
2.84E+03,4.96E+04
2.84E+03,4.97E+04
2.84E+03,4.97E+04
2.84E+03,4.97E+04
2.84E+03,4.97E+04
2.84E+03,4.97E+04
2.84E+03,4.99E+04
2.84E+03,4.99E+04
2.84E+03,5.00E+04
2.84E+03,5.00E+04
2.84E+03,5.00E+04
2.84E+03,5.00E+04
2.84E+03,5.00E+04
2.84E+03,5.00E+04
2.84E+03,5.01E+04
2.84E+03,5.01E+04
2.84E+03,5.01E+04
2.84E+03,5.01E+04
2.84E+03,5.01E+04
2.84E+03,5.02E+04
2.84E+03,5.02E+04
2.84E+03,5.03E+04
2.84E+03,5.03E+04
2.84E+03,5.03E+04
2.84E+03,5.03E+04
2.84E+03,5.04E+04
2.84E+03,5.04E+04
2.84E+03,5.04E+04
2.84E+03,5.04E+04
2.84E+03,5.04E+04
2.84E+03,5.04E+04
2.84E+03,5.04E+04
2.84E+03,5.04E+04
2.84E+03,5.04E+04
2.84E+03,5.05E+04
2.84E+03,5.05E+04
2.84E+03,5.05E+04
2.84E+03,5.05E+04
2.84E+03,5.06E+04
2.84E+03,5.06E+04
2.84E+03,5.06E+04
2.84E+03,5.06E+04
2.84E+03,5.06E+04
2.84E+03,5.06E+04
2.84E+03,5.06E+04
2.84E+03,5.06E+04
2.84E+03,5.06E+04
2.84E+03,5.06E+04
2.84E+03,5.07E+04
2.84E+03,5.07E+04
2.84E+03,5.07E+04
2.84E+03,5.07E+04
2.84E+03,5.07E+04
2.84E+03,5.07E+04
2.84E+03,5.07E+04
2.84E+03,5.07E+04
2.84E+03,5.08E+04
2.84E+03,5.09E+04
2.84E+03,5.09E+04
2.84E+03,5.10E+04
2.84E+03,5.12E+04
2.84E+03,5.12E+04
2.84E+03,5.13E+04
2.84E+03,5.14E+04
2.84E+03,5.14E+04
2.84E+03,5.15E+04
2.84E+03,5.15E+04
2.84E+03,5.15E+04
2.84E+03,5.16E+04
2.84E+03,5.16E+04
2.84E+03,5.16E+04
2.84E+03,5.16E+04
2.84E+03,5.17E+04
2.84E+03,5.17E+04
2.84E+03,5.17E+04
2.84E+03,5.17E+04
2.84E+03,5.17E+04
2.84E+03,5.18E+04
2.84E+03,5.18E+04
2.84E+03,5.18E+04
2.84E+03,5.18E+04
2.84E+03,5.18E+04
2.84E+03,5.19E+04
2.84E+03,5.19E+04
2.84E+03,5.19E+04
2.84E+03,5.19E+04
2.84E+03,5.19E+04
2.84E+03,5.20E+04
2.84E+03,5.20E+04
2.84E+03,5.20E+04
2.84E+03,5.20E+04
2.84E+03,5.21E+04
2.84E+03,5.21E+04
2.84E+03,5.21E+04
2.84E+03,5.21E+04
2.84E+03,5.21E+04
2.84E+03,5.21E+04
2.84E+03,5.22E+04
2.84E+03,5.22E+04
2.84E+03,5.22E+04
2.84E+03,5.22E+04
2.84E+03,5.23E+04
2.84E+03,5.23E+04
2.84E+03,5.24E+04
2.84E+03,5.24E+04
2.84E+03,5.25E+04
2.84E+03,5.25E+04
2.84E+03,5.26E+04
2.84E+03,5.27E+04
2.84E+03,5.27E+04
2.84E+03,5.27E+04
2.84E+03,5.27E+04
2.84E+03,5.28E+04
2.84E+03,5.28E+04
2.84E+03,5.29E+04
