parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
ic_wt_cell__E2F_DBD_1_RB1_Ser332p__FOXM1_promoter_E2F_1_		lin	0	0	0	0	0	uniform	
ic_wt_cell__SKP2		lin	0.1	10	1	0	0	uniform	
ic_wt_cell__TP53_DBD_Ser15p_		lin	0	0	0	0	0	uniform	
ic_wt_cell__CDKN1A_promoter_TP53_		lin	0.00001	0.001	0.0001	0	0	uniform	
ic_wt_cell__FOXO_DBD_		lin	0.1	10	1	0	0	uniform	
ic_wt_cell__CDKN1B_promoter_FOXO_		lin	0.00001	0.001	0.0001	0	0	uniform	
ic_wt_cell__CDKN1A_promoter_TP53_1__TP53_DBD_1_Ser15p_		lin	0	0	0	0	0	uniform	
ic_wt_cell__CDKN1A_CCNE_A_B_Ser130u_		lin	0.001828352	0.182835231	0.173668515	1	0	uniform	
ic_wt_cell__CDKN1B_promoter_FOXO_1__FOXO_DBD_1_		lin	0	0	0	0	0	uniform	
ic_wt_cell__CDKN1B_CCNE_A_Thr187u_		lin	0.001435061	0.143506118	0.021533874	1	0	uniform	
ic_wt_cell__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	0.000583775	0.058377486	0.045916081	1	0	uniform	
ic_wt_cell__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	0.000491769	0.049176919	0.00049177	1	0	uniform	
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	0.000710795	0.071079533	0.069994412	1	0	uniform	
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	3.57E-05	0.003572815	0.003069893	1	0	uniform	
ic_wt_cell__CDKN1A_CCNE_A_B_Ser130p_		lin	0.000998368	0.099836801	0.099828935	1	0	uniform	
ic_wt_cell__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_		lin	0.000289141	0.028914127	0.028384822	1	0	uniform	
ic_wt_cell__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_		lin	0.000272576	0.027257582	0.003409842	1	0	uniform	
ic_wt_cell__CDKN1B_CCNE_A_Thr187p_		lin	0.001196648	0.11966477	0.090063602	1	0	uniform	
ic_wt_cell__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_		lin	0.000357383	0.035738284	0.033142717	1	0	uniform	
ic_wt_cell__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_		lin	0.000326196	0.032619595	0.005444253	1	0	uniform	
oCCNA		lin	0	0.305627054	0.30562705	1	0	laplace	0;1
oCCNB		lin	0	0.534931031	0.534931024	1	0	laplace	0;1
oCCNE		lin	0	0.625025635	0.622607004	1	0	laplace	0;1
oE2F		lin	0	0.710586775	0.710586766	1	0	laplace	0;1
oRB1_pSer807Ser811		lin	0	0.092359914	0.066634062	1	0	laplace	0;1
oSKP2		lin	0	0.325469225	0.325469221	1	0	laplace	0;1
oCDKN1A		lin	0	0.569668525	0.569668517	1	0	laplace	0;1
oCDKN1B		lin	0	0.534762112	0.532343119	1	0	laplace	0;1
sCCNA		lin	0.1	10	3.004923644	1	1	laplace	0;10
sCCNB		lin	0.1	10	1.567629917	1	1	laplace	0;10
sCCNE		lin	0.1	10	2.113295668	1	1	uniform	
sE2F		lin	0.1	10	0.106904309	1	1	uniform	
sRB1_pSer807Ser811		lin	0.1	10	0.354030425	1	1	uniform	
sSKP2		lin	0.1	10	0.941844285	1	1	uniform	
sCDKN1A		lin	0.1	10	3.067916	1	1	uniform	
sCDKN1B		lin	0.1	10	4.645943184	1	1	uniform	
noiseParameter1		lin	0	0	0	0	0	uniform	
noiseParameter2		lin	0.1	10	1	0	0	uniform	
